name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
Le Rouquet,"Boulevard Saint-Germain, Paris, France",Paris,,,restaurant,,€€€,2.9,501,48.8546643,2.3304213,https://maps.google.com/?cid=8978704800617157836&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://lor.paris/p/le-rouquet-paris/accueil,,"Type: Restaurant
Price: €€€
Google: 2.9 (501 reviews)
Food types: restaurant
Tags: Bar, Bistrot
Google Maps: https://maps.google.com/?cid=8978704800617157836&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://lor.paris/p/le-rouquet-paris/accueil"
Le Rubis,"10 Rue du Marché Saint-Honoré, 75001 Paris, France",Paris,1er,,"bar, restaurant",,€€,4.4,721,48.8662382,2.3313684,https://maps.google.com/?cid=18273164744386044605&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.facebook.com/Le-Rubis-964093417031887/,,"Type: Bistro
Arrondissement: 1er
Price: €€
Google: 4.4 (721 reviews)
Food types: bar, restaurant
Tags: bootstrap, wine-bar, Bistrot, Cafe
Google Maps: https://maps.google.com/?cid=18273164744386044605&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.facebook.com/Le-Rubis-964093417031887/"
Le Ruisseau,"65 Rue du Ruisseau, 75018 Paris, France",Paris,18e,,restaurant,,€€,4.6,2250,48.89445,2.340529,https://maps.google.com/?cid=2886271872441503453&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.leruisseauburger.com/,https://images.squarespace-cdn.com/content/v1/563b9659e4b04fd1f90d0793/1576877924227-TIHL9JK6FEO6EDF2Z3NB/ke17ZwdGBToddI8pDm48kCXHiw8uU9iEnGYb09ICE8ZZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIKjFavjsWej_XEszicnNP4tsXzCBJmJrSziE02Rmzx6YKMshLAGzx4R3EDFOm1kBS/Burger.jpg?format=1500w,"Type: Hamburger Restaurant
Arrondissement: 18e
Price: €€
Google: 4.6 (2,250 reviews)
Food types: restaurant
Tags: Burger
Google summary: Beef, chicken & veggie burgers with craft beers & cocktails, plus popular brunches, in a chic space.
Google Maps: https://maps.google.com/?cid=2886271872441503453&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.leruisseauburger.com/
Booking: https://images.squarespace-cdn.com/content/v1/563b9659e4b04fd1f90d0793/1576877924227-TIHL9JK6FEO6EDF2Z3NB/ke17ZwdGBToddI8pDm48kCXHiw8uU9iEnGYb09ICE8ZZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIKjFavjsWej_XEszicnNP4tsXzCBJmJrSziE02Rmzx6YKMshLAGzx4R3EDFOm1kBS/Burger.jpg?format=1500w"
Le Récamier,"4 Rue Récamier, 75007 Paris, France",Paris,7e,,restaurant,,€€€,4.5,4187,48.852203,2.328119,https://maps.google.com/?cid=7173841611168196839&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://lerecamier.com/,https://bookings.zenchef.com/results?rid=349893&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Arrondissement: 7e
Price: €€€
Google: 4.5 (4,187 reviews)
Food types: restaurant
Tags: Frenchie
Google summary: Famed savory & sweet soufflés, plus classic French food, at an elegant, literary-themed venue.
Google Maps: https://maps.google.com/?cid=7173841611168196839&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://lerecamier.com/
Booking: https://bookings.zenchef.com/results?rid=349893&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Le Saigon d'Antan,Rue Monsieur le Prince 24 Paris 75006,Paris,6e,,restaurant,,€€,4.7,1703,48.84959120000001,2.340103099999999,https://maps.google.com/?cid=14687931082845222388&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://saigondantan.fr/fr,https://thefork.fr/restaurant/le-saigon-d-antan-r213773/?cc=24751-923,"Type: Restaurant
Arrondissement: 6e
Price: €€
Google: 4.7 (1,703 reviews)
Food types: restaurant
Tags: Vietnamiese, Restaurant
Google Maps: https://maps.google.com/?cid=14687931082845222388&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://saigondantan.fr/fr
Booking: https://thefork.fr/restaurant/le-saigon-d-antan-r213773/?cc=24751-923"
Le Sand,"Rue Rouget de Lisle, Paris, France",Paris,,,restaurant,,,4.4,133,48.8661767,2.3263406,https://maps.google.com/?cid=4221179675037965680&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.lesand-paris.com/,https://thefork.fr/restaurant/le-sand-paris-r843266/?cc=24751-923,"Type: French Restaurant
Google: 4.4 (133 reviews)
Food types: restaurant
Tags: Restaurant
Google Maps: https://maps.google.com/?cid=4221179675037965680&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.lesand-paris.com/
Booking: https://thefork.fr/restaurant/le-sand-paris-r843266/?cc=24751-923"
Le Servan,"32 Rue Saint-Maur, 75011 Paris, France",Paris,11e,,restaurant,,€€€,4.5,1093,48.86101559999999,2.3814506,https://maps.google.com/?cid=9530374725574136956&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://leservan.fr/,https://thefork.fr/restaurant/sensation-r831294/?cc=24751-923,"Type: Bistro
Arrondissement: 11e
Price: €€€
Google: 4.5 (1,093 reviews)
Food types: restaurant
Tags: Restaurant, Trendy, ❤️
Google summary: French-Asian dishes like blood sausage wontons & ginger pork belly, in a space with a vintage vibe.
Google Maps: https://maps.google.com/?cid=9530374725574136956&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://leservan.fr/
Booking: https://thefork.fr/restaurant/sensation-r831294/?cc=24751-923"
Le Soufflé,"36 Rue du Mont Thabor, 75001 Paris, France",Paris,1er,,restaurant,,€€,4.7,4236,48.8664672,2.3264267,https://maps.google.com/?cid=17259246465247453084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.lesouffle.fr/,https://bookings.zenchef.com/results?rid=361852&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Arrondissement: 1er
Price: €€
Google: 4.7 (4,236 reviews)
Food types: restaurant
Tags: Frenchie, Restaurant, Bistrot
Google summary: Sweet & savory soufflés with flavors like beef bourguignon & hazelnut, served in a tidy dining room.
Google Maps: https://maps.google.com/?cid=17259246465247453084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.lesouffle.fr/
Booking: https://bookings.zenchef.com/results?rid=361852&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Le Square Trousseau,"1 Rue Antoine Vollon, 75012 Paris, France",Paris,12e,,restaurant,,€€€,4,620,48.85021459999999,2.376449,https://maps.google.com/?cid=16920901166049746526&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.squaretrousseau.com/,,"Type: French Restaurant
Arrondissement: 12e
Price: €€€
Google: 4.0 (620 reviews)
Food types: restaurant
Tags: Frenchie, Restaurant
Google summary: Light-filled bistro with period features offering an all-day menu of traditional cuisine.
Google Maps: https://maps.google.com/?cid=16920901166049746526&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.squaretrousseau.com/"
Le Syndicat,"51 Rue du Faubourg Saint-Denis, 75010 Paris, France",Paris,10e,,bar,,€€€,4.5,1692,48.8718271,2.353634399999999,https://maps.google.com/?cid=13748875782714009907&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.syndicatcocktailclub.com/,https://bookings.zenchef.com/results?rid=347818&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Cocktail Bar
Arrondissement: 10e
Price: €€€
Google: 4.5 (1,692 reviews)
Food types: bar
Tags: Cocktail
Google Maps: https://maps.google.com/?cid=13748875782714009907&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.syndicatcocktailclub.com/
Booking: https://bookings.zenchef.com/results?rid=347818&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
